Parameter,Year,Unit,Value
EV stock,2010,Shares,99178.0
EV stock,2011,Shares,228130.0
EV stock,2012,Shares,552399.0
EV stock,2013,Shares,1095915.0
EV stock,2014,Shares,1957259.0
EV stock,2015,Shares,3618497.0
EV stock,2016,Shares,5871495.0
EV stock,2017,Shares,9110375.0
EV stock,2018,Shares,14181777.0
EV stock,2019,Shares,19609637.0
EV stock,2020,Shares,73835673.0
EV stock,2021,Shares,116975541.0
EV stock,2022,Shares,182672318.0
EV stock,2023,Shares,275050602.0
