Region,Unit,Value
Indonesia,Charging points,441.0
Mexico,Charging points,512.0
Greece,Charging points,662.0
Chile,Charging points,850.0
South Africa,Charging points,888.0
Iceland,Charging points,948.0
Israel,Charging points,980.0
Turkiye,Charging points,1340.0
Australia,Charging points,1551.0
New Zealand,Charging points,2640.0
Thailand,Charging points,3105.0
Poland,Charging points,5424.0
Belgium,Charging points,5479.0
Finland,Charging points,6293.0
Austria,Charging points,6700.0
Denmark,Charging points,6969.0
Portugal,Charging points,8250.0
Switzerland,Charging points,10880.0
Sweden,Charging points,13190.0
Spain,Charging points,16391.0
Canada,Charging points,16857.0
Netherlands,Charging points,18112.0
Italy,Charging points,20077.0
United Kingdom,Charging points,37416.0
Norway,Charging points,39332.0
France,Charging points,43999.0
Germany,Charging points,60585.0
Japan,Charging points,77110.0
Korea,Charging points,83620.0
India,Charging points,489771.0
USA,Charging points,2157200.0
Rest of the world,Charging points,2524000.0
China,Charging points,37999000.0
