Powertrain,Year,Unit,Value
Publicly available slow,2011,Charging points,27601.0
Publicly available slow,2012,Charging points,81426.0
Publicly available slow,2013,Charging points,122593.0
Publicly available slow,2014,Charging points,237967.0
Publicly available slow,2015,Charging points,404630.0
Publicly available slow,2016,Charging points,642899.0
Publicly available slow,2017,Charging points,815513.0
Publicly available slow,2018,Charging points,1009064.0
Publicly available slow,2019,Charging points,1511323.0
Publicly available slow,2020,Charging points,5641280.0
Publicly available slow,2021,Charging points,7805014.0
Publicly available slow,2022,Charging points,11552310.0
Publicly available slow,2023,Charging points,16029240.0
