Mode,Year,Unit,Value
Vans,2010,Vehicles,6094.0
Vans,2011,Vehicles,11882.0
Vans,2012,Vehicles,34541.0
Vans,2013,Vehicles,35159.0
Vans,2014,Vehicles,36226.0
Vans,2015,Vehicles,71891.0
Vans,2016,Vehicles,69177.0
Vans,2017,Vehicles,201540.0
Vans,2018,Vehicles,203976.0
Vans,2019,Vehicles,169630.0
Vans,2020,Vehicles,583268.0
Vans,2021,Vehicles,1153373.0
Vans,2022,Vehicles,2058696.0
Vans,2023,Vehicles,3024256.0
