Parameter,Year,Unit,Value
EV sales share,2011,Percent,0.25
EV sales share,2012,Percent,1.0
EV sales share,2013,Percent,3.5
EV sales share,2014,Percent,4.416666666666667
EV sales share,2015,Percent,14.4
EV sales share,2016,Percent,14.958333333333334
EV sales share,2017,Percent,10.160714285714286
EV sales share,2018,Percent,15.068181818181818
EV sales share,2019,Percent,14.75
EV sales share,2020,Percent,19.30921052631579
EV sales share,2021,Percent,20.20098039215686
EV sales share,2022,Percent,20.605072463768117
EV sales share,2023,Percent,21.994318181818183
