Parameter,Year,Unit,Value
EV stock share,2015,Percent,0.25
EV stock share,2016,Percent,0.4583333333333333
EV stock share,2017,Percent,0.6666666666666666
EV stock share,2018,Percent,6.75
EV stock share,2019,Percent,4.28125
EV stock share,2020,Percent,6.678571428571429
EV stock share,2021,Percent,8.923076923076923
EV stock share,2022,Percent,9.367647058823529
EV stock share,2023,Percent,10.375
