Powertrain,Year,Unit,Value
BEV,2011,Vehicles,111340.0
BEV,2012,Vehicles,184853.5
BEV,2013,Vehicles,317576.0
BEV,2014,Vehicles,535285.0
BEV,2015,Vehicles,992204.0
BEV,2016,Vehicles,1400925.0
BEV,2017,Vehicles,2262101.0
BEV,2018,Vehicles,3576294.0
BEV,2019,Vehicles,4027781.0
BEV,2020,Vehicles,14410270.0
BEV,2021,Vehicles,31549025.0
BEV,2022,Vehicles,49106439.0
BEV,2023,Vehicles,64194415.0
