Region,Unit,Value
Rest of the world,Vehicles,1303436.0
China,Vehicles,1282746.0
USA,Vehicles,435566.0
India,Vehicles,46744.0
Korea,Vehicles,34537.0
Japan,Vehicles,8034.0
Germany,Vehicles,2551.0
France,Vehicles,1214.0
Netherlands,Vehicles,768.0
United Kingdom,Vehicles,436.0
Canada,Vehicles,337.0
Switzerland,Vehicles,334.0
Poland,Vehicles,242.0
Denmark,Vehicles,234.0
Norway,Vehicles,228.0
Belgium,Vehicles,99.0
Austria,Vehicles,89.0
Italy,Vehicles,73.0
Australia,Vehicles,65.0
Sweden,Vehicles,58.0
Spain,Vehicles,46.0
Iceland,Vehicles,39.0
New Zealand,Vehicles,20.0
Brazil,Vehicles,6.0
Portugal,Vehicles,4.0
South Africa,Vehicles,3.0
Chile,Vehicles,2.0
Finland,Vehicles,1.0
