Region,Unit,Value
China,Vehicles,140757480.0
USA,Vehicles,51882483.5
Rest of the world,Vehicles,43979825.0
India,Vehicles,11008945.0
Germany,Vehicles,1802062.0
France,Vehicles,1095721.0
United Kingdom,Vehicles,1052382.0
Norway,Vehicles,679837.0
Korea,Vehicles,582765.0
Netherlands,Vehicles,502263.0
Canada,Vehicles,420104.0
Japan,Vehicles,350281.0
Sweden,Vehicles,350198.0
Italy,Vehicles,259413.0
Belgium,Vehicles,198681.0
Switzerland,Vehicles,190823.0
Spain,Vehicles,184414.0
Austria,Vehicles,160350.0
Denmark,Vehicles,158869.0
Australia,Vehicles,153709.0
Portugal,Vehicles,95237.0
Israel,Vehicles,92056.0
Turkiye,Vehicles,77689.0
New Zealand,Vehicles,71523.0
Finland,Vehicles,66860.0
Ireland,Vehicles,57680.0
Poland,Vehicles,50819.0
United Arab Emirates,Vehicles,40822.0
Romania,Vehicles,38488.0
Brazil,Vehicles,36908.0
Iceland,Vehicles,27387.0
Luxembourg,Vehicles,25490.0
Mexico,Vehicles,23413.0
Hungary,Vehicles,21940.0
Czech Republic,Vehicles,18950.0
Greece,Vehicles,13126.0
Slovenia,Vehicles,10990.0
Costa Rica,Vehicles,8831.0
Colombia,Vehicles,8099.0
Slovakia,Vehicles,6491.0
Lithuania,Vehicles,5603.0
Croatia,Vehicles,5120.0
Bulgaria,Vehicles,3834.0
Latvia,Vehicles,3740.0
Estonia,Vehicles,3210.0
South Africa,Vehicles,2184.0
Chile,Vehicles,2097.0
Cyprus,Vehicles,1339.0
Seychelles,Vehicles,338.0
