Mode,Year,Unit,Value
Buses,2010,Vehicles,2355.0
Buses,2011,Vehicles,1736.0
Buses,2012,Vehicles,4088.5
Buses,2013,Vehicles,7960.0
Buses,2014,Vehicles,20982.0
Buses,2015,Vehicles,115178.0
Buses,2016,Vehicles,171436.0
Buses,2017,Vehicles,179902.0
Buses,2018,Vehicles,175949.0
Buses,2019,Vehicles,151832.0
Buses,2020,Vehicles,397874.0
Buses,2021,Vehicles,320183.0
Buses,2022,Vehicles,374311.0
Buses,2023,Vehicles,317510.0
