Mode,Year,Unit,Value
Trucks,2010,Vehicles,134.0
Trucks,2011,Vehicles,245.0
Trucks,2012,Vehicles,73.0
Trucks,2013,Vehicles,96.0
Trucks,2014,Vehicles,160.0
Trucks,2015,Vehicles,34065.0
Trucks,2016,Vehicles,93170.0
Trucks,2017,Vehicles,142145.0
Trucks,2018,Vehicles,75009.0
Trucks,2019,Vehicles,55648.0
Trucks,2020,Vehicles,119076.0
Trucks,2021,Vehicles,134541.0
Trucks,2022,Vehicles,259658.0
Trucks,2023,Vehicles,357560.0
