Powertrain,Year,Unit,Value
PHEV,2011,Vehicles,19116.0
PHEV,2012,Vehicles,139641.0
PHEV,2013,Vehicles,235744.0
PHEV,2014,Vehicles,332447.0
PHEV,2015,Vehicles,639646.0
PHEV,2016,Vehicles,779723.0
PHEV,2017,Vehicles,1080850.0
PHEV,2018,Vehicles,1603794.0
PHEV,2019,Vehicles,1507686.0
PHEV,2020,Vehicles,7043582.0
PHEV,2021,Vehicles,13461341.0
PHEV,2022,Vehicles,19438473.0
PHEV,2023,Vehicles,27718630.0
